2002,Daniel Day-Lewis
2002,Adrien Brody
2002,Nicolas Cage
2002,Richard Gere
2002,Jack Nicholson
2003,Johnny Depp
2003,Peter Dinklage
2003,Ben Kingsley
2003,Bill Murray
2003,Sean Penn
2004,Jamie Foxx
2004,Don Cheadle
2004,Johnny Depp
2004,Leonardo DiCaprio
2004,Paul Giamatti
2005,Philip Seymour Hoffman
2005,Russell Crowe
2005,Heath Ledger
2005,Joaquin Phoenix
2005,David Strathairn
2006,Forest Whitaker
2006,Leonardo DiCaprio
2006,Ryan Gosling
2006,Peter O'Toole
2006,Will Smith
2007,Daniel Day-Lewis
2007,George Clooney
2007,Ryan Gosling
2007,Emile Hirsch
2007,Viggo Mortensen
2008,Sean Penn
2008,Richard Jenkins
2008,Frank Langella
2008,Brad Pitt
2008,Mickey Rourke
2009,Jeff Bridges
2009,George Clooney
2009,Colin Firth
2009,Morgan Freeman
2009,Jeremy Renner
2010,Colin Firth
2010,Jeff Bridges
2010,Robert Duvall
2010,Jesse Eisenberg
2010,James Franco
2011,Jean Dujardin
2011,Demián Bichir
2011,George Clooney
2011,Leonardo DiCaprio
2011,Brad Pitt
2012,Daniel Day-Lewis
2012,Bradley Cooper
2012,John Hawkes
2012,Hugh Jackman
2012,Denzel Washington
2013,Matthew McConaughey
2013,Bruce Dern
2013,Chiwetel Ejiofor
2013,Tom Hanks
2013,Forest Whitaker
2014,Eddie Redmayne
2014,Steve Carell
2014,Benedict Cumberbatch
2014,Jake Gyllenhaal
2014,Michael Keaton
2015,Leonardo DiCaprio
2015,Bryan Cranston
2015,Johnny Depp
2015,Michael Fassbender
2015,Eddie Redmayne
2016,Denzel Washington
2016,Casey Affleck
2016,Andrew Garfield
2016,Ryan Gosling
2016,Viggo Mortensen
